Run,Time_step,latent_infections,agents_ever_latent,total_latent_cases,agents_ever_active,total_active_cases,total_subclinical_cases,Infectious,Recovered,Dead,Dead_natural,Births,Live_pop,Peak,Peak_time,Peak_total,Initial,HIV,Home,School,Block,Work,Taxi,Tests,Positive,P_Detected,Quarantines,R0,total_x_ray,agents_ever_x_ray,x_ray_refs,Tracing,mass_x_ray,tut,tat,incidence_100k,total_time_infectious,total_time_active,mean_time_infectious,mean_time_active
439,467,9167,7931,7931,949,949,1001,105,1092,197,1792,1978,19989,100,353,628,370,2575,1318,882,872,3795,1945,2742,605,60.4396,1625,1.02941,15691,8824,45,1,1,0,1,470,48850,23072,48.8012,24.389
439,519,9619,8286,8286,1035,1035,1077,80,1163,225,1983,2197,19989,100,353,628,370,2575,1425,1014,923,3914,1991,2991,659,61.1885,1777,1.02912,17072,9398,47,1,1,0,1,515,53648,25746,49.8124,24.9235
440,51,816,729,729,13,13,41,40,491,0,195,215,20020,12,50,13,414,2641,27,17,15,283,60,5,3,7.31707,8,1.00064,930,930,0,1,1,0,1,5,783,147,19.0976,11.3077
440,103,1777,1565,1565,82,82,129,81,519,8,398,437,20031,38,94,72,407,2641,148,88,93,733,311,203,44,34.1085,127,1.00354,2457,1970,1,1,1,0,1,40,4073,1525,31.5736,19.3038
440,155,3084,2725,2725,194,194,261,120,587,24,597,657,20036,57,155,194,411,2641,315,154,210,1346,662,554,119,45.5939,326,1.00948,4179,2959,4,1,1,0,1,95,9302,3637,35.6398,19.2434
440,207,4663,4105,4105,330,330,403,141,678,41,796,878,20041,80,194,296,411,2641,544,241,374,2030,1088,982,208,51.6129,564,1.01438,5943,3895,11,1,1,0,1,165,16460,7080,40.8437,21.5854
440,259,6291,5554,5554,493,493,600,184,796,80,997,1097,20020,83,258,492,411,2641,766,375,546,2734,1483,1410,299,49.8333,821,1.02388,7875,4948,16,1,1,0,1,245,24998,10905,41.6633,22.1646
440,311,7656,6725,6725,669,669,756,159,938,120,1191,1316,20005,111,283,598,411,2641,965,546,715,3257,1784,1963,421,55.6878,1136,1.02886,9804,5935,30,1,1,0,1,330,34214,15768,45.2566,23.6757
440,363,8527,7496,7496,813,813,884,133,1054,157,1393,1541,19991,111,283,598,411,2641,1124,631,834,3601,1954,2354,509,57.5792,1366,1.02855,11753,6945,32,1,1,0,1,405,41687,19754,47.1572,24.2977
440,415,9124,8004,8004,923,923,967,88,1153,191,1591,1763,19981,111,283,598,411,2641,1237,698,928,3823,2049,2695,587,60.7032,1578,1.02825,13607,7883,40,1,1,0,1,460,47683,23058,49.3102,25.0087
440,467,9457,8280,8280,992,992,1017,56,1211,217,1786,1982,19979,111,283,598,411,2641,1312,741,982,3945,2088,2893,630,61.9469,1715,1.02796,15353,8698,41,1,1,0,1,495,51392,25145,50.5329,25.4247
440,519,9616,8407,8407,1027,1027,1045,28,1259,230,1983,2202,19989,111,283,598,411,2641,1350,771,1008,3991,2103,3040,658,62.9665,1799,1.02768,16798,9242,43,1,1,0,1,510,53340,26222,51.0431,25.5824
441,51,624,555,555,18,18,35,29,424,0,198,226,20028,12,47,15,357,2584,39,26,15,155,32,44,10,28.5714,25,1.00074,1071,1071,1,1,1,0,1,5,773,214,22.0857,12.5882
441,103,1410,1246,1246,68,68,96,55,443,8,400,446,20038,30,96,60,353,2584,132,94,84,527,224,161,36,37.5,88,1.00294,2704,2164,2,1,1,0,1,30,3403,1260,35.4479,18.806
441,155,2383,2091,2091,145,145,201,92,495,21,598,668,20049,37,113,85,356,2584,260,184,169,944,481,428,90,44.7761,238,1.00413,4645,3249,6,1,1,0,1,70,7204,2893,35.8408,20.0903
441,207,3923,3435,3435,274,274,346,144,561,42,792,888,20054,75,205,270,356,2584,479,305,311,1586,901,742,166,47.9769,431,1.0131,6682,4352,10,1,1,0,1,135,13712,5676,39.6301,20.9446
441,259,5522,4849,4849,433,433,509,148,690,67,993,1110,20050,80,229,344,356,2584,732,342,448,2331,1330,1282,275,54.0275,752,1.01657,8704,5402,15,1,1,0,1,215,21369,9403,41.9823,21.9696
441,311,6990,6129,6129,602,602,678,171,794,108,1193,1333,20032,101,311,602,356,2584,960,391,595,3060,1649,1753,384,56.6372,1028,1.02904,10671,6398,19,1,1,0,1,300,29960,13785,44.1888,23.0518
441,363,7994,6979,6979,756,756,844,158,920,155,1390,1552,20007,101,311,602,356,2584,1159,466,723,3456,1859,2284,497,58.8863,1348,1.02874,12494,7244,24,1,1,0,1,375,38923,18111,46.1173,24.0199
441,415,8740,7610,7610,893,893,950,111,1037,194,1592,1768,19982,101,311,602,356,2584,1305,554,831,3718,2003,2697,589,62,1565,1.02844,14262,8079,29,1,1,0,1,445,45938,21915,48.3558,24.596
441,467,9312,8086,8086,986,986,1036,87,1122,227,1791,1992,19974,101,311,602,356,2584,1407,651,923,3918,2077,2963,651,62.8378,1731,1.02814,15987,8962,34,1,1,0,1,490,51316,24829,49.5328,25.1815
441,519,9710,8410,8410,1070,1070,1096,65,1182,247,1985,2212,19980,101,311,602,356,2584,1494,736,978,4056,2110,3180,696,63.5036,1858,1.02786,17372,9498,35,1,1,0,1,535,55652,27227,50.7774,25.5173
442,51,781,696,696,20,20,43,36,449,1,196,218,20021,13,50,19,382,2569,48,32,19,250,50,37,6,13.9535,19,1.00094,1097,1097,0,1,1,0,1,10,880,201,20.4651,10.5789
